Centreon Broker 3.0.7 log file opened
Centreon Broker 3.0.7 log file opened
[1495609606] config:  module applier: loading directory '/usr/share/centreon/lib/centreon-broker'
[1495609606] info:    dumper: module for Centreon Broker 3.0.7
[1495609606] info:    NEB: module for Centreon Broker 3.0.7
[1495609606] info:    stats: module for Centreon Broker 3.0.7
[1495609606] info:    BAM: module for Centreon Broker 3.0.7
[1495609606] info:    storage: module for Centreon Broker 3.0.7
[1495609606] info:    correlation: module for Centreon Broker 3.0.7
[1495609606] info:    notification: module for Centreon Broker 3.0.7
[1495609606] info:    TCP: module for Centreon Broker 3.0.7
[1495609606] info:    TLS: module for Centreon Broker 3.0.7
[1495609606] info:    TLS: initializing libgcrypt (GNU TLS <= 2.11.0)
[1495609606] info:    TLS: loading GNU TLS version 2.12.23
[1495609606] info:    RRD: module for Centreon Broker 3.0.7
[1495609606] info:    RRD: using rrdtool 1.4.7
[1495609606] info:    SQL: module for Centreon Broker 3.0.7
[1495609606] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.memory.central-rrd-input'
[1495609606] info:    file: end of file '/var/lib/centreon-broker//central-rrd.memory.central-rrd-input' reached, erasing file
[1495609606] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input'
[1495609606] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input' reached, erasing file
[1495609606] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.memory.central-rrd-files'
[1495609606] info:    file: end of file '/var/lib/centreon-broker//central-rrd.memory.central-rrd-files' reached, erasing file
[1495609606] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-files'
[1495609606] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-files' reached, erasing file
[1495609606] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.memory.(external commands)'
[1495609606] info:    file: end of file '/var/lib/centreon-broker//central-rrd.memory.(external commands)' reached, erasing file
[1495609606] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.(external commands)'
[1495609606] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.(external commands)' reached, erasing file
[1495609606] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.unprocessed'
[1495609606] info:    file: end of file '/var/lib/centreon-broker//central-rrd.unprocessed' reached, NOT erasing file
[1495609606] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.(external commands)'
[1495609606] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.(external commands)' reached, erasing file
[1495609606] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-1'
[1495609606] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-1' reached, erasing file
[1495609614] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-2'
[1495609614] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-2' reached, erasing file
[1495609622] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-3'
[1495609622] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-3' reached, erasing file
[1495609630] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-4'
[1495609630] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-4' reached, erasing file
[1495609638] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-5'
[1495609638] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-5' reached, erasing file
[1495609646] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-6'
[1495609646] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-6' reached, erasing file
[1495609654] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-7'
[1495609654] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-7' reached, erasing file
[1495609662] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-8'
[1495609662] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-8' reached, erasing file
[1495609670] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-9'
[1495609670] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-9' reached, erasing file
[1495609678] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-10'
[1495609678] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-10' reached, erasing file
[1495609686] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-11'
[1495609686] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-11' reached, erasing file
[1495609694] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-12'
[1495609694] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-12' reached, erasing file
[1495609702] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-13'
[1495609702] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-13' reached, erasing file
[1495609710] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-14'
[1495609710] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-14' reached, erasing file
[1495609718] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-15'
[1495609718] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-15' reached, erasing file
[1495609726] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-16'
[1495609726] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-16' reached, erasing file
[1495609734] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-17'
[1495609734] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-17' reached, erasing file
[1495609742] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-18'
[1495609742] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-18' reached, erasing file
[1495609750] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-19'
[1495609750] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-19' reached, erasing file
[1495609758] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-20'
[1495609758] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-20' reached, erasing file
[1495609766] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-21'
[1495609766] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-21' reached, erasing file
[1495609774] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-22'
[1495609774] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-22' reached, erasing file
[1495609782] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-23'
[1495609782] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-23' reached, erasing file
[1495609790] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-24'
[1495609790] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-24' reached, erasing file
[1495609798] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-25'
[1495609798] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-25' reached, erasing file
[1495609806] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-26'
[1495609806] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-26' reached, erasing file
[1495609814] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-27'
[1495609814] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-27' reached, erasing file
[1495609822] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-28'
[1495609822] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-28' reached, erasing file
[1495609830] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-29'
[1495609830] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-29' reached, erasing file
[1495609838] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-30'
[1495609838] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-30' reached, erasing file
[1495609846] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-31'
[1495609846] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-31' reached, erasing file
[1495609854] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-32'
[1495609854] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-32' reached, erasing file
[1495609862] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-33'
[1495609862] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-33' reached, erasing file
[1495609870] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-34'
[1495609870] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-34' reached, erasing file
[1495609878] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-35'
[1495609878] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-35' reached, erasing file
[1495609886] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-36'
[1495609886] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-36' reached, erasing file
[1495609894] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-37'
[1495609894] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-37' reached, erasing file
[1495609902] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-38'
[1495609902] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-38' reached, erasing file
[1495609910] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-39'
[1495609910] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-39' reached, erasing file
[1495609918] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-40'
[1495609918] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-40' reached, erasing file
[1495609926] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-41'
[1495609926] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-41' reached, erasing file
[1495609934] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-42'
[1495609934] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-42' reached, erasing file
[1495609942] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-43'
[1495609942] info:    file: end of file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-43' reached, erasing file
[1495609950] info:    file: opening new file '/var/lib/centreon-broker//central-rrd.queue.central-rrd-input-44'
